name,company,model,edition,year,owner,fuel,seller_type,transmission,km_driven,mileage_mpg,engine_cc,max_power_bhp,torque_nm,seats,selling_price
Maruti Swift Dzire VDI,Maruti,Swift,Dzire VDI,2014,First,Diesel,Individual,Manual,145500,55.0,1248.0,74.0,190.0,5.0,450000
Skoda Rapid 1.5 TDI Ambition,Skoda,Rapid,1.5 TDI Ambition,2014,Second,Diesel,Individual,Manual,120000,49.7,1498.0,103.52,250.0,5.0,370000
Honda City 2017-2020 EXi,Honda,City,2017-2020 EXi,2006,Third,Petrol,Individual,Manual,140000,41.6,1497.0,78.0,124.54445499999999,5.0,158000
Hyundai i20 Sportz Diesel,Hyundai,i20,Sportz Diesel,2010,First,Diesel,Individual,Manual,127000,54.06,1396.0,90.0,219.66895999999997,5.0,225000
Maruti Swift VXI BSIII,Maruti,Swift,VXI BSIII,2007,First,Petrol,Individual,Manual,120000,37.84,1298.0,88.2,112.77647499999999,5.0,130000
Hyundai Xcent 1.2 VTVT E Plus,Hyundai,Xcent,1.2 VTVT E Plus,2017,First,Petrol,Individual,Manual,45000,47.34,1197.0,81.86,113.75,5.0,440000
Maruti Wagon R LXI DUO BSIII,Maruti,Wagon,R LXI DUO BSIII,2007,First,LPG,Individual,Manual,175000,0.02768,1061.0,57.5,76.49186999999999,5.0,96000
Maruti 800 DX BSII,Maruti,800,DX BSII,2001,Second,Petrol,Individual,Manual,5000,37.84,796.0,37.0,59.0,4.0,45000
Toyota Etios VXD,Toyota,Etios,VXD,2011,First,Diesel,Individual,Manual,90000,55.44,1364.0,67.1,170.0,5.0,350000
Ford Figo Diesel Celebration Edition,Ford,Figo,Diesel Celebration Edition,2013,First,Diesel,Individual,Manual,169000,47.0,1399.0,68.1,160.0,5.0,200000
Renault Duster 110PS Diesel RxL,Renault,Duster,110PS Diesel RxL,2014,Second,Diesel,Individual,Manual,68000,44.7,1461.0,108.45,248.0,5.0,500000
Maruti Zen LX,Maruti,Zen,LX,2005,Second,Petrol,Individual,Manual,100000,40.66,993.0,60.0,78.0,5.0,92000
Maruti Swift Dzire VDi,Maruti,Swift,Dzire VDi,2009,Second,Diesel,Individual,Manual,140000,45.34,1248.0,73.9,190.0,5.0,280000
Maruti Swift 1.3 VXi,Maruti,Swift,1.3 VXi,2007,Second,Petrol,Individual,Manual,80000,,,,,,200000
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2009,Second,Petrol,Individual,Manual,90000,44.4,1061.0,67.0,84.0,5.0,180000
Mahindra KUV 100 mFALCON G80 K8 5str,Mahindra,KUV,100 mFALCON G80 K8 5str,2016,First,Petrol,Individual,Manual,40000,42.66,1198.0,82.0,115.0,5.0,400000
Maruti Ertiga SHVS VDI,Maruti,Ertiga,SHVS VDI,2016,Second,Diesel,Individual,Manual,70000,57.62,1248.0,88.5,200.0,7.0,778000
Hyundai i20 1.4 CRDi Asta,Hyundai,i20,1.4 CRDi Asta,2012,Second,Diesel,Individual,Manual,53000,54.06,1396.0,90.0,219.66895999999997,5.0,500000
Maruti Alto LX,Maruti,Alto,LX,2002,Second,Petrol,Individual,Manual,80000,46.28,796.0,46.3,62.0,5.0,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,Hyundai,i20,2015-2017 Asta 1.4 CRDi,2016,First,Diesel,Individual,Manual,100000,52.97,1396.0,88.73,219.7,5.0,680000
Mahindra Verito 1.5 D4 BSIII,Mahindra,Verito,1.5 D4 BSIII,2011,Second,Diesel,Individual,Manual,100000,49.34,1461.0,64.1,160.0,5.0,174000
Honda WR-V i-DTEC VX,Honda,WR-V,i-DTEC VX,2017,First,Diesel,Individual,Manual,50000,59.94,1498.0,98.6,200.0,5.0,950000
Maruti Swift Dzire ZDI,Maruti,Swift,Dzire ZDI,2015,First,Diesel,Individual,Manual,40000,62.5,1248.0,74.0,190.0,5.0,525000
Maruti SX4 ZDI,Maruti,SX4,ZDI,2012,First,Diesel,Individual,Manual,72000,50.53,1248.0,88.8,200.0,5.0,600000
Tata Tigor 2017-2020 XZ,Tata,Tigor,2017-2020 XZ,2018,First,Petrol,Individual,Manual,35000,47.72,1199.0,83.81,114.0,5.0,500000
Maruti Baleno Delta 1.2,Maruti,Baleno,Delta 1.2,2016,First,Petrol,Individual,Manual,45000,50.28,1197.0,83.1,115.0,5.0,575000
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2017,First,Petrol,Individual,Manual,28000,58.03,796.0,47.3,69.0,5.0,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,Chevrolet,Enjoy,TCDi LTZ 7 Seater,2013,First,Diesel,Individual,Manual,70000,42.78,1248.0,73.8,172.5,7.0,300000
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2009,First,Petrol,Individual,Manual,120000,44.4,1061.0,67.0,84.0,5.0,220000
Maruti Omni E MPI STD BS IV,Maruti,Omni,E MPI STD BS IV,2018,First,Petrol,Individual,Manual,25000,39.47,796.0,34.2,59.0,8.0,254999
Maruti Vitara Brezza LDi Option,Maruti,Vitara,Brezza LDi Option,2017,First,Diesel,Individual,Manual,70000,57.1,1248.0,88.5,200.0,5.0,670000
Fiat Palio 1.2 ELX,Fiat,Palio,1.2 ELX,2003,Second,Petrol,Individual,Manual,50000,,,,,,70000
Maruti Omni 8 Seater BSIV,Maruti,Omni,8 Seater BSIV,2012,Second,Petrol,Individual,Manual,35000,32.9,796.0,35.0,59.820564999999995,5.0,150000
Hyundai i20 1.2 Asta Dual Tone,Hyundai,i20,1.2 Asta Dual Tone,2018,First,Petrol,Individual,Manual,2388,43.72,1197.0,81.83,114.7,5.0,730000
Maruti Vitara Brezza LDi,Maruti,Vitara,Brezza LDi,2017,First,Diesel,Individual,Manual,16200,57.1,1248.0,88.5,200.0,5.0,650000
Maruti Alto 800 CNG LXI Optional,Maruti,Alto,800 CNG LXI Optional,2019,Second,CNG,Individual,Manual,10000,0.0535,796.0,40.3,60.0,4.0,330000
Maruti Alto K10 VXI Airbag,Maruti,Alto,K10 VXI Airbag,2019,First,Petrol,Individual,Manual,15000,56.28,998.0,67.1,90.0,5.0,366000
Hyundai Verna VTVT 1.6 SX Option,Hyundai,Verna,VTVT 1.6 SX Option,2019,First,Petrol,Individual,Manual,5000,39.94,1591.0,121.3,151.0,5.0,1149000
Datsun GO D,Datsun,GO,D,2016,First,Petrol,Individual,Manual,42000,48.47,1198.0,67.0,104.0,5.0,150000
Tata Safari DICOR 2.2 LX 4x2,Tata,Safari,DICOR 2.2 LX 4x2,2011,Second,Diesel,Individual,Manual,60000,32.75,2179.0,138.03,320.0,7.0,425000
Maruti 800 Std,Maruti,800,Std,2012,First,Petrol,Individual,Manual,76000,37.84,796.0,37.0,59.0,4.0,150000
Jeep Compass 1.4 Limited Plus BSIV,Jeep,Compass,1.4 Limited Plus BSIV,2019,First,Petrol,Individual,Automatic,5000,37.6,1368.0,160.77,250.0,5.0,2100000
Honda City i VTEC VX,Honda,City,i VTEC VX,2018,First,Petrol,Dealer,Manual,28900,41.84,1497.0,117.3,145.0,5.0,925000
